CX,CY
0.67511178,-0.31616225
0.66145702,-0.32521179
0.66145702,-0.32521179
0.66145702,-0.32521179
0.66145702,-0.32521179
0.66145702,-0.32521179
0.68533929,-0.29333349
0.64149520,-0.30708551
0.64149520,-0.30708551
